t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
10.3,25.6595,25.75,-0.433354,0,0.100328,0,2.4553,2.5,0.0592483,0,-0.0315038,-0.0389192,-0.177632,-0.253795
10.4,25.9165,26,-0.433973,0,0.105002,0,2.37682,2.5,0.0689407,0,0.0866895,-0.0758929,-0.189335,-0.261473
10.5,26.1534,26.25,-0.440001,0,0.11026,0,2.25857,2.5,0.0330594,0,0.261423,0.0170846,-0.183831,-0.268497
10.6,26.3699,26.25,-0.445967,0,0.112342,0,2.28854,2.5,0.0517902,0,0.193717,-0.0397601,-0.202241,-0.27485
10.7,26.6106,26.75,-0.447502,0,0.117435,0,2.6022,2.5,0.0678632,0,-0.178666,-0.0724045,-0.212422,-0.280516
10.8,26.8725,27,-0.4404,0,0.123426,0,2.65438,2.5,0.0581251,0,-0.249877,-0.0376918,-0.230254,-0.285481
10.9,27.137,27.25,-0.428955,0,0.129224,0,2.6014,2.5,0.0688982,0,-0.15638,-0.0948279,-0.214677,-0.289732
11,27.4043,27.5,-0.419827,0,0.135902,0,2.5752,2.5,0.0745019,0,-0.185214,-0.137508,-0.20628,-0.293259
11.1,27.6709,27.5,-0.406743,0,0.144323,0,2.70759,2.5,0.0688458,0,-0.591701,-0.211523,-0.18362,-0.296053
11.2,27.9345,28,-0.398613,0,0.149805,0,2.87114,2.5,0.0754373,0,-1.03864,-0.238633,-0.196004,-0.298107
11.3,28.2164,28.25,-0.388166,0,0.157636,0,2.91735,2.5,0.0674141,0,-1.31736,-0.213212,-0.232583,-0.299416
11.4,28.502,28.5,-0.365627,0,0.165795,0,2.62406,2.5,0.0722336,0,-0.91064,-0.268777,-0.223091,-0.299977
11.5,28.7426,28.75,-0.354005,0,0.169345,0,2.54669,2.5,-0.00606531,0,-0.659222,0.0140887,-0.271183,-0.299788
11.6,29.0106,28.75,-0.335407,0,0.167867,0,2.88235,2.5,-0.0490129,0,-1.19895,0.03943,-0.234488,-0.298849
11.7,29.297,29.25,-0.315304,0,0.16449,0,2.92493,2.5,-0.0414004,0,-1.4907,0.0498213,-0.253657,-0.297164
11.8,29.5806,29.5,-0.296966,0,0.158829,0,2.79083,2.5,-0.0601909,0,-1.42604,0.189692,-0.292677,-0.294736
11.9,29.8413,29.75,-0.280717,0,0.153357,0,2.23324,2.5,-0.0497845,0,-0.457067,0.193692,-0.306397,-0.291571
12,30.0468,30,-0.284173,0,0.151829,0,2.15081,2.5,-0.0176247,0,0.0188794,0.057071,-0.282987,-0.287677
12.1,30.2591,30,-0.278885,0,0.152366,0,2.02314,2.5,0.0159223,0,0.496638,0.0383788,-0.312735,-0.283065
12.2,30.4422,30.5,-0.279896,0,0.154321,0,1.79896,2.5,0.0486576,0,1.04827,-0.0202469,-0.324203,-0.277744
12.3,30.619,30.75,-0.272833,0,0.158304,0,1.93231,2.5,0.0600612,0,1.0821,-0.0935733,-0.308979,-0.27173
12.4,30.8175,31,-0.266687,0,0.163367,0,2.16703,2.5,0.0625896,0,0.391638,-0.124917,-0.301839,-0.265036
12.5,31.0316,31.25,-0.263071,0,0.165835,0,2.14822,2.5,0.0159642,0,0.620973,0.0396222,-0.336863,-0.25768
12.6,31.2386,31.25,-0.251078,0,0.166755,0,2.05042,2.5,0.0107335,0,0.911681,-0.0262285,-0.305932,-0.24968
12.7,31.4451,31.75,-0.241418,0,0.167944,0,2.23012,2.5,0.0293672,0,0.739575,-0.162655,-0.251745,-0.241056
