t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0.245,0.543813,0.5,-0.00600921,0,-0.00133632,0,2.36945,2.5,-0.010062,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.25,0.55543,0.5,-0.00516725,0,-0.00138953,0,2.31689,2.5,-0.00143145,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.255,0.568402,0.5,-0.0045117,0,-0.00132123,0,2.32998,2.5,-0.00127839,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.26,0.581147,0.5,-0.00218337,0,-0.00134384,0,2.35112,2.5,-0.000573546,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.265,0.591727,0.5,-0.00141616,0,-0.00125865,0,2.30453,2.5,0.0037192,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.27,0.601363,0.5,-0.00187597,0,-0.00120222,0,2.37848,2.5,-0.000140177,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.275,0.613507,0.5,-0.00246331,0,-0.00107145,0,2.30531,2.5,-0.00181239,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.28,0.626248,0.5,-0.0022015,0,-0.00101681,0,2.17577,2.5,-0.00195276,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.285,0.637893,0.5,-0.00225639,0,-0.000886684,0,2.14403,2.5,-0.00300249,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.29,0.647409,0.5,-0.00245878,0,-0.00102212,0,2.1429,2.5,0.00363114,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.295,0.658801,0.5,-0.00229007,0,-0.00101038,0,2.08386,2.5,0.00639909,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.3,0.669101,0.5,-0.00109796,0,-0.000780104,0,2.00524,2.5,0.00122217,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.305,0.676973,0.75,-0.000551686,0,-0.000765061,0,1.94645,2.5,0.0043689,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.31,0.687079,0.75,-0.00103492,0,-0.000749402,0,1.8717,2.5,0.0119872,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.315,0.696253,0.75,-0.00111022,0,-0.000848447,0,1.86657,2.5,0.013954,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.32,0.704823,0.75,0.000564371,0,-0.000759907,0,1.85808,2.5,0.0155087,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.325,0.714451,0.75,-0.000228203,0,-0.000565598,0,1.90843,2.5,0.0250925,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.33,0.723367,0.75,0.00152727,0,-0.000639514,0,1.99487,2.5,0.0163755,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.335,0.732351,0.75,0.00102742,0,-0.000708863,0,2.03037,2.5,0.0170491,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.34,0.741432,0.75,0.00116414,0,-0.000656469,0,2.03609,2.5,0.0184164,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.345,0.751743,0.75,-0.000107406,0,-0.000624969,0,2.07267,2.5,0.0189186,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.35,0.761288,0.75,0.000349883,0,-0.000459627,0,2.0493,2.5,0.013417,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.355,0.771908,0.75,-0.00061248,0,-0.000332853,0,2.13561,2.5,0.0138788,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.36,0.781641,0.75,-0.00154253,0,-0.000525704,0,2.11812,2.5,0.0116517,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.365,0.792501,0.75,-0.00219181,0,-0.000265374,0,2.13334,2.5,0.00570294,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.37,0.805738,0.75,-0.00143059,0,-0.000225036,0,2.19428,2.5,0.00657908,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.375,0.81585,0.75,-0.00117959,0,-0.000309959,0,2.23328,2.5,0.0160346,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.38,0.82563,0.75,-0.000228916,0,-0.000257358,0,2.3378,2.5,0.0229143,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.385,0.837865,0.75,-0.00092823,0,-0.000163006,0,2.42153,2.5,0.0168249,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.39,0.852039,0.75,0.00019292,0,-3.62639e-06,0,2.43095,2.5,0.0274219,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.395,0.863997,0.75,-0.000200622,0,1.28012e-05,0,2.40528,2.5,0.029064,0,0.44615,0.0174786,0.542639,-0.129947,0.676947,-0.0528597
0.4,0.875612,1,-0.00216422,0,-4.16182e-05,0,2.44837,2.5,0.0281059,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.405,0.886411,1,-0.00254063,0,0.000240524,0,2.34787,2.5,0.0279946,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.41,0.89841,1,-0.00366052,0,0.000358463,0,2.25293,2.5,0.0221723,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.415,0.910118,1,-0.00404175,0,0.000396401,0,2.29739,2.5,0.0203577,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.42,0.921551,1,-0.0025424,0,0.000519802,0,2.28041,2.5,0.0223835,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.425,0.933365,1,-0.00492901,0,0.000600776,0,2.31757,2.5,0.018777,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.43,0.94538,1,-0.00516045,0,0.000418553,0,2.30301,2.5,0.0214748,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.435,0.956729,1,-0.0049138,0,0.00048492,0,2.23318,2.5,0.0230614,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.44,0.969143,1,-0.00303088,0,0.000579978,0,2.2839,2.5,0.0184227,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.445,0.979194,1,-0.00371013,0,0.000779216,0,2.27132,2.5,0.0193559,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.45,0.990403,1,-0.00284833,0,0.000836719,0,2.31646,2.5,0.0219236,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.455,1.00038,1,-0.000194736,0,0.000865956,0,2.38875,2.5,0.0197283,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.46,1.01317,1,-0.000550439,0,0.000980647,0,2.39709,2.5,0.0196085,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.465,1.02672,1,-0.00154223,0,0.00118088,0,2.33045,2.5,0.0198896,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.47,1.03796,1,-0.00148553,0,0.0011043,0,2.34397,2.5,0.0167793,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.475,1.04867,1,-0.00240529,0,0.00121749,0,2.31156,2.5,0.00942179,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.48,1.05891,1,-0.00251695,0,0.00127416,0,2.31283,2.5,0.0134657,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.485,1.06989,1,-0.00364372,0,0.00131995,0,2.23249,2.5,0.0112629,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.49,1.08145,1,-0.00368355,0,0.00133074,0,2.24763,2.5,0.00683255,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.495,1.0931,1,-0.00500726,0,0.00112411,0,2.2723,2.5,0.00298866,0,0.0370686,-0.050915,1.0027,0.0584281,0.909998,-0.0296307
0.5,1.1045,1.25,-0.00396689,0,0.00108589,0,2.2781,2.5,0.00427427,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
