t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
7,17.003,17.5,0.607187,0,-0.0923488,0,2.79621,2.5,-0.0640546,0,-0.156954,0.144229,0.229124,0.179542
7.1,17.2495,17.75,0.602685,0,-0.0953067,0,2.29716,2.5,-0.0270413,0,0.757503,0.0511962,0.196231,0.167305
7.2,17.5108,18,0.59593,0,-0.0954257,0,2.57445,2.5,0.0109051,0,0.542832,-0.0012348,0.170599,0.15465
7.3,17.8065,18.25,0.58614,0,-0.0935349,0,3.16094,2.5,0.0187604,0,-0.565132,-0.0392082,0.158478,0.141609
7.4,18.0989,18.5,0.568024,0,-0.0894506,0,2.62213,2.5,0.0404356,0,-0.0862015,-0.113002,0.186676,0.128214
7.5,18.3426,18.75,0.562959,0,-0.0853356,0,2.53129,2.5,0.0424986,0,0.210756,-0.130029,0.193924,0.114498
7.6,18.6118,19,0.559983,0,-0.0838194,0,2.71002,2.5,-0.00693172,0,-0.131546,0.0176988,0.21873,0.100496
7.7,18.875,19.25,0.545918,0,-0.0837856,0,2.85029,2.5,-0.00104971,0,-0.42711,-0.00360931,0.18861,0.0862434
7.8,19.1816,19.5,0.524943,0,-0.084873,0,3.16126,2.5,-0.000246152,0,-1.13737,-0.0390691,0.211685,0.0717748
7.9,19.4828,19.75,0.510216,0,-0.0870546,0,3.06004,2.5,-0.0250286,0,-1.25822,0.0734665,0.184793,0.0571268
8,19.7655,20,0.4893,0,-0.0893585,0,2.68362,2.5,-0.0234851,0,-0.705129,0.111829,0.117344,0.042336
8.1,20.0123,20,0.471914,0,-0.0902822,0,2.30712,2.5,0.004104,0,0.141679,0.0259405,0.108321,0.0274394
8.2,20.2467,20.25,0.449746,0,-0.0921738,0,2.35197,2.5,-0.0430811,0,0.335117,0.195435,0.0771976,0.0124742
8.3,20.4752,20.75,0.426707,0,-0.0951049,0,2.3124,2.5,-0.0183448,0,0.463947,0.141645,0.0714042,-0.00252217
8.4,20.7263,21,0.398154,0,-0.0961225,0,2.30269,2.5,0.00925081,0,0.552256,0.0530808,0.11557,-0.0175122
8.5,20.941,21.25,0.37258,0,-0.0952036,0,2.10886,2.5,0.0140988,0,0.940771,0.0935473,0.0377557,-0.0324585
8.6,21.1609,21.25,0.350598,0,-0.0943055,0,2.25451,2.5,0.0189544,0,0.851986,0.0957788,0.0362302,-0.0473237
