t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0.33,0.729293,0.75,0.00145764,0,-0.000960465,0,2.05285,2.5,0.0150645,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.335,0.738567,0.75,0.000954318,0,-0.00103282,0,2.08957,2.5,0.0159461,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.34,0.747943,0.75,0.00108745,0,-0.000982658,0,2.09651,2.5,0.0175216,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.345,0.758557,0.75,-0.000187721,0,-0.000952475,0,2.13432,2.5,0.0182318,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.35,0.768409,0.75,0.000265881,0,-0.00078765,0,2.11217,2.5,0.0129383,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.355,0.779344,0.75,-0.000700091,0,-0.000661165,0,2.1997,2.5,0.0136082,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.36,0.789398,0.75,-0.00163385,0,-0.000853508,0,2.18344,2.5,0.0115893,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.365,0.800584,0.75,-0.00228689,0,-0.000592101,0,2.19987,2.5,0.0058486,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.37,0.814154,0.75,-0.00152935,0,-0.000550556,0,2.26204,2.5,0.00693284,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.375,0.824604,0.75,-0.00128211,0,-0.000633331,0,2.30226,2.5,0.0165964,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.38,0.834729,0.75,-0.000335264,0,-0.000576592,0,2.408,2.5,0.0236842,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.385,0.847315,0.75,-0.00103851,0,-0.000476267,0,2.49296,2.5,0.0178029,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.39,0.861847,0.75,7.86754e-05,0,-0.00031061,0,2.5036,2.5,0.0286081,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.395,0.874168,0.75,-0.000318711,0,-0.000285623,0,2.47916,2.5,0.0304582,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.4,0.886152,1,-0.002286,0,-0.000330375,0,2.5227,2.5,0.0294612,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.405,0.897323,1,-0.00266607,0,-3.87298e-05,0,2.42266,2.5,0.0293111,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.41,0.909696,1,-0.00378925,0,8.83233e-05,0,2.32817,2.5,0.0234499,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.415,0.92178,1,-0.00417349,0,0.000134269,0,2.3731,2.5,0.0215964,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.42,0.933592,1,-0.00267711,0,0.000265398,0,2.35657,2.5,0.0235832,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.425,0.945786,1,-0.00506652,0,0.000354189,0,2.39419,2.5,0.0199379,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.43,0.958184,1,-0.00530067,0,0.00017924,0,2.38008,2.5,0.0225967,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.435,0.969919,1,-0.00505671,0,0.000253067,0,2.31071,2.5,0.0241444,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.44,0.982721,1,-0.00317628,0,0.000355525,0,2.36189,2.5,0.0194668,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.445,0.993162,1,-0.00385796,0,0.000561494,0,2.34976,2.5,0.0203611,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.45,1.00476,1,-0.00299841,0,0.00062569,0,2.39536,2.5,0.0228899,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.455,1.01514,1,-0.000347013,0,0.000661903,0,2.46811,2.5,0.0206557,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.46,1.02832,1,-0.000704891,0,0.000783242,0,2.4769,2.5,0.020497,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.465,1.04227,1,-0.00169873,0,0.000989967,0,2.41072,2.5,0.0207392,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.47,1.05391,1,-0.00164386,0,0.000919675,0,2.4247,2.5,0.01759,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.475,1.06503,1,-0.00256542,0,0.00103859,0,2.39275,2.5,0.0101936,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.48,1.07567,1,-0.00267873,0,0.00109977,0,2.39448,2.5,0.0141986,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.485,1.08706,1,-0.00380706,0,0.00115047,0,2.31459,2.5,0.0119569,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.49,1.09903,1,-0.00384831,0,0.00116563,0,2.33019,2.5,0.00748764,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.495,1.11109,1,-0.00517339,0,0.000962606,0,2.35532,2.5,0.00360485,0,0.128471,-0.0586955,1.01287,0.05831,0.855995,0.0118417
0.5,1.1229,1.25,-0.00413445,0,0.000927313,0,2.3607,2.5,0.00493443,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.505,1.13305,1.25,-0.0023484,0,0.000892628,0,2.42095,2.5,0.00495241,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.51,1.14316,1.25,-0.00164802,0,0.000844122,0,2.42194,2.5,0.00504018,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.515,1.15664,1.25,-0.0038263,0,0.000892377,0,2.34826,2.5,0.00443942,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.52,1.16612,1.25,-0.00399219,0,0.00101483,0,2.29301,2.5,0.0123435,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
